실행 주차,분석일,분석 범위,구분,내용,근거 수,출처
9월 4주차,2026-09-24,2026-08-25 ~ 2026-09-24,칭찬,바게트가 겉은 바삭하고 속은 부드러워(겉바속촉) 질기지 않다는 평,32,영수증
9월 4주차,2026-09-24,2026-08-25 ~ 2026-09-24,칭찬,야채·햄 등 속재료가 신선하다는 평,20,영수증
9월 4주차,2026-09-24,2026-08-25 ~ 2026-09-24,칭찬,바게트가 겉바속촉이고 질기지 않다는 평(직접 반죽·즉시 조리 강조),20,블로그
9월 4주차,2026-09-24,2026-08-25 ~ 2026-09-24,불편,배달과 매장 주문이 몰리는 시간대(특히 주말 점심)에 20~30분 대기가 발생했다는 후기,2,블로그
9월 4주차,2026-09-24,2026-08-25 ~ 2026-09-24,불편,카카오맵상 위치 표시가 실제와 달라 찾기 힘들었다는 지적,1,영수증
9월 4주차,2026-09-24,2026-08-25 ~ 2026-09-24,불편,주말 무료주차가 2시간이라는 안내와 달리 실제로는 1시간만 인정되어 추가요금이 발생한 사례,1,블로그
9월 4주차,2026-09-24,2026-08-25 ~ 2026-09-24,불편,스프가 다른 메뉴에 비해 특별히 인상적이지는 않았다는 평,1,블로그
9월 4주차,2026-09-24,2026-08-25 ~ 2026-09-24,불편,바질 잠봉뵈르가 트러플 잠봉뵈르 대비 향이 약하게 느껴졌다는 비교평,1,블로그
9월 4주차,2026-09-24,2026-08-25 ~ 2026-09-24,추천 주제,"애플 잠봉뵈르, 왜 다들 극찬할까 - 신메뉴 집중 탐구",,
9월 4주차,2026-09-24,2026-08-25 ~ 2026-09-24,추천 주제,"포장해온 샌드위치, 집에서 더 맛있게 먹는 법",,
9월 4주차,2026-09-24,2026-08-25 ~ 2026-09-24,추천 주제,"크림스프 vs 단호박스프, 뭘 골라야 할까",,
9월 4주차,2026-09-24,2026-08-25 ~ 2026-09-24,추천 주제,"회사 회식·소풍 도시락, 단체주문 이용법",,
9월 4주차,2026-09-24,2026-08-25 ~ 2026-09-24,추천 주제,세트메뉴 4종 완벽정리,,
9월 4주차,2026-09-24,2026-08-25 ~ 2026-09-24,추천 주제,반미 두 종류 비교: 그릴드치킨반미 vs 에그마요반미,,
